league_name,playoff_round,manager,team_name,position,player_id,player_name,team_id,nhl_team_name,is_active,points_earned,activated_from_ir
Press Play-offs,1,nuttguy,56 Years and Counting,D,8480839,Rasmus Dahlin,null,null,true,4,false
Press Play-offs,1,nuttguy,56 Years and Counting,F,8477956,David Pastrnak,null,null,true,7,false
Press Play-offs,1,nuttguy,56 Years and Counting,F,8478402,Connor McDavid,null,null,true,6,false
Press Play-offs,1,nuttguy,56 Years and Counting,F,8479542,Brandon Hagel,null,null,true,8,false
Press Play-offs,1,nuttguy,56 Years and Counting,F,8480039,Martin Necas,null,null,true,2,false
Press Play-offs,1,nuttguy,56 Years and Counting,F,8482740,Wyatt Johnston,null,null,true,6,false
Press Play-offs,1,nuttguy,56 Years and Counting,G,null,null,21,Colorado Avalanche,true,8,false
Press Play-offs,1,nuttguy,56 Years and Counting,IR_D,8474578,Erik Karlsson,null,null,true,3,false
Press Play-offs,1,nuttguy,56 Years and Counting,IR_F,8478550,Artemi Panarin,null,null,true,3,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,D,8475167,Victor Hedman,null,null,true,0,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,D,8477447,Shea Theodore,null,null,true,4,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,D,8480036,Miro Heiskanen,null,null,true,6,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,F,8477492,Nathan MacKinnon,null,null,true,4,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,F,8478010,Brayden Point,null,null,true,1,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,F,8478403,Jack Eichel,null,null,true,9,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,F,8478420,Mikko Rantanen,null,null,true,7,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,F,8478427,Sebastian Aho,null,null,true,3,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,G,null,null,12,Carolina Hurricanes,true,10,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,IR_D,8482671,Owen Power,null,null,true,4,false
Press Play-offs,1,paul.markhauser,Canadian Bloody Knucks,IR_F,8483515,Juraj Slafkovský,null,null,true,3,false
Press Play-offs,2,Tobi,Frozen Assets,D,8474590,John Carlson,null,null,true,1,false
Press Play-offs,2,Tobi,Frozen Assets,D,8480800,Quinn Hughes,null,null,true,7,false
Press Play-offs,2,Tobi,Frozen Assets,D,8481524,Bowen Byram,null,null,true,2,false
Press Play-offs,2,Tobi,Frozen Assets,F,8473986,Alex Killorn,null,null,true,3,false
Press Play-offs,2,Tobi,Frozen Assets,F,8477949,Alex Tuch,null,null,true,0,false
Press Play-offs,2,Tobi,Frozen Assets,F,8478403,Jack Eichel,null,null,true,6,false
Press Play-offs,2,Tobi,Frozen Assets,F,8478873,Troy Terry,null,null,true,3,false
Press Play-offs,2,Tobi,Frozen Assets,F,8481557,Matt Boldy,null,null,true,4,false
Press Play-offs,2,Tobi,Frozen Assets,G,null,null,21,Colorado Avalanche,true,8,false
Press Play-offs,2,Tobi,Frozen Assets,IR_D,8482087,Kaiden Guhle,null,null,true,2,false
Press Play-offs,2,Tobi,Frozen Assets,IR_F,8475798,Mikael Granlund,null,null,true,4,false
Press Play-offs,2,connor.fehr,Rons team,D,8480069,Cale Makar,null,null,true,3,false
Press Play-offs,2,connor.fehr,Rons team,D,8480839,Rasmus Dahlin,null,null,true,10,false
Press Play-offs,2,connor.fehr,Rons team,D,8481605,Jackson LaCombe,null,null,true,1,false
Press Play-offs,2,connor.fehr,Rons team,F,8475913,Mark Stone,null,null,true,2,false
Press Play-offs,2,connor.fehr,Rons team,F,8477492,Nathan MacKinnon,null,null,true,9,false
Press Play-offs,2,connor.fehr,Rons team,F,8478427,Sebastian Aho,null,null,true,1,false
Press Play-offs,2,connor.fehr,Rons team,F,8479420,Tage Thompson,null,null,true,8,false
Press Play-offs,2,connor.fehr,Rons team,F,8484153,Leo Carlsson,null,null,true,3,false
Press Play-offs,2,connor.fehr,Rons team,G,null,null,7,Buffalo Sabres,true,6,false
Press Play-offs,2,connor.fehr,Rons team,IR_D,8477948,Travis Sanheim,null,null,true,0,false
Press Play-offs,2,connor.fehr,Rons team,IR_F,8483445,Cutter Gauthier,null,null,true,5,false
Press Play-offs,2,nuttguy,56 Years and Counting,D,8477447,Shea Theodore,null,null,true,5,false
Press Play-offs,2,nuttguy,56 Years and Counting,D,8478396,Noah Hanifin,null,null,true,1,false
Press Play-offs,2,nuttguy,56 Years and Counting,D,8482122,Brock Faber,null,null,true,4,false
Press Play-offs,2,nuttguy,56 Years and Counting,F,8475692,Mats Zuccarello,null,null,true,4,false
Press Play-offs,2,nuttguy,56 Years and Counting,F,8475791,Taylor Hall,null,null,true,5,false
Press Play-offs,2,nuttguy,56 Years and Counting,F,8477476,Artturi Lehkonen,null,null,true,2,false
Press Play-offs,2,nuttguy,56 Years and Counting,F,8478483,Mitch Marner,null,null,true,11,false
Press Play-offs,2,nuttguy,56 Years and Counting,F,8478864,Kirill Kaprizov,null,null,true,6,false
Press Play-offs,2,nuttguy,56 Years and Counting,G,null,null,12,Carolina Hurricanes,true,10,false
Press Play-offs,2,nuttguy,56 Years and Counting,IR_D,8482671,Owen Power,null,null,true,2,false
Press Play-offs,2,nuttguy,56 Years and Counting,IR_F,8482809,Jackson Blake,null,null,true,7,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,D,8470613,Brent Burns,null,null,true,3,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,D,8478038,Devon Toews,null,null,true,5,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,D,8483457,Lane Hutson,null,null,true,8,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,F,8475172,Nazem Kadri,null,null,true,4,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,F,8480018,Nick Suzuki,null,null,true,7,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,F,8480039,Martin Necas,null,null,true,9,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,F,8482702,Logan Stankoven,null,null,true,3,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,F,8483515,Juraj Slafkovský,null,null,true,6,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,G,null,null,24,Anaheim Ducks,true,4,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,IR_D,8476875,Mike Matheson,null,null,true,2,false
Press Play-offs,2,paul.markhauser,Canadian Bloody Knucks,IR_F,8477501,Valeri Nichushkin,null,null,true,3,false
Press Play-offs,3,Tobi,Frozen Assets,D,8475188,Brayden McNabb,null,null,true,1,false
Press Play-offs,3,Tobi,Frozen Assets,D,8476967,Brett Kulak,null,null,true,0,false
Press Play-offs,3,Tobi,Frozen Assets,D,8478396,Noah Hanifin,null,null,true,0,false
Press Play-offs,3,Tobi,Frozen Assets,F,8475913,Mark Stone,null,null,true,3,false
Press Play-offs,3,Tobi,Frozen Assets,F,8477964,Ivan Barbashev,null,null,true,3,false
Press Play-offs,3,Tobi,Frozen Assets,F,8478403,Jack Eichel,null,null,true,3,false
Press Play-offs,3,Tobi,Frozen Assets,F,8479353,Brett Howden,null,null,true,2,false
Press Play-offs,3,Tobi,Frozen Assets,F,8481540,Cole Caufield,null,null,true,4,false
Press Play-offs,3,Tobi,Frozen Assets,G,null,null,54,Vegas Golden Knights,true,8,false
Press Play-offs,3,Tobi,Frozen Assets,IR_D,8484258,Sam Malinski,null,null,true,0,false
Press Play-offs,3,Tobi,Frozen Assets,IR_F,8482737,Zachary Bolduc,null,null,true,0,false
Press Play-offs,3,connor.fehr,Rons team,D,8478038,Devon Toews,null,null,true,3,false
Press Play-offs,3,connor.fehr,Rons team,D,8480069,Cale Makar,null,null,true,0,false
Press Play-offs,3,connor.fehr,Rons team,D,8483457,Lane Hutson,null,null,true,2,false
Press Play-offs,3,connor.fehr,Rons team,F,8476455,Gabriel Landeskog,null,null,true,3,false
Press Play-offs,3,connor.fehr,Rons team,F,8477492,Nathan MacKinnon,null,null,true,2,false
Press Play-offs,3,connor.fehr,Rons team,F,8480018,Nick Suzuki,null,null,true,3,false
Press Play-offs,3,connor.fehr,Rons team,F,8481618,Alex Newhook,null,null,true,1,false
Press Play-offs,3,connor.fehr,Rons team,F,8482702,Logan Stankoven,null,null,true,4,false
Press Play-offs,3,connor.fehr,Rons team,G,null,null,21,Colorado Avalanche,true,0,false
Press Play-offs,3,connor.fehr,Rons team,IR_D,8477447,Shea Theodore,null,null,true,2,false
Press Play-offs,3,connor.fehr,Rons team,IR_F,8478483,Mitch Marner,null,null,true,3,false
Press Play-offs,3,nuttguy,56 Years and Counting,D,8476422,Mike Reilly,null,null,true,0,false
Press Play-offs,3,nuttguy,56 Years and Counting,D,8478970,Jalen Chatfield,null,null,true,3,false
Press Play-offs,3,nuttguy,56 Years and Counting,D,8480817,K'Andre Miller,null,null,true,2,false
Press Play-offs,3,nuttguy,56 Years and Counting,F,8475791,Taylor Hall,null,null,true,4,false
Press Play-offs,3,nuttguy,56 Years and Counting,F,8478427,Sebastian Aho,null,null,true,3,false
Press Play-offs,3,nuttguy,56 Years and Counting,F,8480039,Martin Necas,null,null,true,2,false
